,事件 incident,日期Date,搜索关键词,标题,来源,用户属性,Tag ,URL,转赞评 ,微博内容摘要,评论区发言（related to research question),,
,2025年8月景区故意捅人事件,2025-08-10,,律师谈杀害女生男子有精神疾病史#：需确认其是否处于发作期及精神状态影响程度,九派新闻,新闻媒体 ,"#19岁女生遭杀害男子有精神疾病史# 
#律师谈杀害女生男子有精神疾病史#",https://weibo.com/7516679696/PFv2A0j95,49万转 157万评 1795赞 ,知名律师河南泽槿律师事务所主任付建告诉@九派新闻 ，若经法定程序鉴定确认，犯罪时精神病人不能辨认或不能控制自己行为，不负刑事责任。如果尚未完全丧失辨认或控制自己行为能力的精神病人犯罪，应负刑事责任，但可以从轻或减轻处罚。间歇性精神病人在精神正常时犯罪，应负刑事责任，按照正常量刑标准处罚。应当由专业的精神科医生通过详细的精神检查、心理测评等手段，依据相关诊断标准进行鉴定，确定其是否处于发作期以及精神状态对辨认和控制自己行为能力的影响程度 。,"
NebulosaRosette： 脱去安乐了不好？留个定时炸弹，还可能被不法分子钻漏洞。

阿吉班尔唐伽（回复 @老太太铲十吨煤）： 这个时代不可能有这些酷刑了，枪毙是最好的，结果还放罪犯逍遥法外。

老太太铲十吨煤（回复 @柳奉天）： 应该凌迟。安乐死便宜这些杂碎了。

阿吉班尔唐伽： 建议杀人的精神病一律安乐死，就像咬人的狗一样。

至秦慕远： 对，你说精神病不聪明吧，他知道找弱小的下手，知道去自首，知道逃跑。

90后的签约（回复 @至秦慕远）： 这事没有证据证明凶手当时没有精神病发作，也没有证据证明凶手当时有精神病发作。这事还是要看心理医生怎么判刑。以后要是有女性不管是学生，还是直播间里的女主播和模特（包括车模）被精神病人杀害了，都一样按法律法规来判决。

精神病鉴定需医学+法学双重标准，重点在于行为时的控制力，而非病史标签。",,
,,,,女大学生景区遇害凶手已被抓获,中国新闻周刊,新闻媒体 ,#19岁女大学生景区内遭捅多刀身亡#,https://weibo.com/1642512402/PFuoLbbII#commentt,4万 转 3万评论 32.6万赞 ,"近日，#19岁女大学生景区内遭捅多刀身亡#，引发关注。据媒体报道，8月10日下午，江西南昌八大山人梅湖景区，19岁女大学生与朋友旅游时，遭一名男子捅刺多刀身亡。对此，12日下午，青云谱区文化广电旅游局工作人员告诉@中国新闻周刊，此事警方正在处理，凶手已被抓获，具体情况以警方通报为准。截至发稿，景区电话一直未接通。

随后，南昌市公安局青云谱分局发布通报，2025年8月10日，南昌市青云谱区青云谱路附近发生一起伤人案件。接警后，民警迅速赶赴现场处置，并组织伤员救治工作。经初步调查，当日13时40分左右，犯罪嫌疑人席某某(男，23岁，江西高安人，有精神疾病诊疗史）持剪刀对刘某某和施某进行伤害，造成刘某某经抢救无效死亡，施某经送医院救治，无生命危险。

目前，席某某已被刑事拘留，案件正在进一步侦办中。 ","“持续关注！19岁，那么小的年纪，一定要严惩凶手！” （1.3万）
“真是飞来横祸，本来开开心心旅游“ （5万）
“持续关注，希望罪犯得到应有的惩罚，而不是一句有精神病就轻飘飘的带过” （307）
“3岁男子席某景区搭讪被拒 持剪刀行凶致一死三伤“ （374）",,
,,,,男子捅死拒绝他搭讪的女生 精神病不是免死金牌,搜狐新闻,新闻媒体 ,#19岁女大学生景区内遭捅多刀身亡#,https://weibo.com/5890672121/PFLineiE6,150转 116评论 1576赞,"
席某某有过精神疾病诊疗史，他是因为什么去做诊疗的，有没有确诊？如果确诊有精神疾病，那程度如何？在他捅杀刘同学时，到底是在发病期间抑或仍然具备完全刑事责任能力？许多案例表明，如果是间歇性精神病人，在精神正常期间犯罪，仍属完全刑事责任能力。捅死刘同学的席某某需要一个权威的精神鉴定，以确认他在行凶时的精神状态，以便与量刑相适应。

此外，人们对本案还有另一层疑虑，假如席某某就是预谋杀人，提前进行了精神病诊疗方面的精心部署，以掩护他现在的杀人行为，执法机关能不能识破这一层伪装？

一些人难以排除这个想法，主要是专业壁垒的存在，觉得“精神病司法鉴定”离自己太远，过于神秘。毕竟，司法精神病鉴定不同于一般鉴定，比较依赖于鉴定人员的主观判断，难免担心犯罪嫌疑人会编造案发时的症状，误导鉴定人员。","“还好穿的是汉服，不敢想如果穿的是和服的话舆论会怎么捧他为英雄” （312）

初唐新月:杀人偿命，这是最基本、最朴素的正义。（199）
他们长出了肺然后淹死了:回复@法尔诺斯:会啊，抑郁症之类的精神疾病就是自伤，老实说，真正的精神病人可不会专门挑妇孺弱小攻击，精神病人一般都是无差别攻击的，这个案件只是拿精神病来当借口想少判一点而已

法尔诺斯:我有一个疑问，为什么精神病人从来不刀自己呢？",,
,2024年6月9日成都女子遇害案,2024-06-09,,成都27岁女子在家门口被人持刀伤害致死一案，检方以故意杀人罪提起公诉 ,极目新闻,新闻媒体 ,"#女生家门口遇害精神病不是免死金牌# 
#被精神病人伤害致死女生不能白死# ",https://m.weibo.cn/detail/5171355261080192 ,102转 151评 1294赞,无论如何，受害人王某雅不能白死，该谁承担的责任不能跑，这是基本的社会公正。法律是全体人民共同意志的体现。对司法机关来说，如何将案件办到公众的心坎儿里，办得公众心服口服，就考验着他们对法律条文的精准理解," Yee我是Q: 不是负不负责任，应该和正常人同罪 (139赞） 

早安夏天summer：有热度了，就可能判死刑。没热度，你看法院判不判死刑 （176赞） ",,
,,,, 杀害27岁女子凶手父亲抱怨有家不能回 ,看看新闻KNEWS ,新闻媒体 ,"#受害者妈妈誓要追究凶手父母责任# 

#女子家门口遇害案法院择期开庭# ",https://m.weibo.cn/detail/5170887701040700 ,1826转 3745评 12万赞,2024年6月9日，四川成都一名27岁女子在家门口被人持刀伤害致死，嫌疑人被当地警方刑事拘留。近日，该案将在成都市中级人民法院公开审理。受害者妈妈告诉记者，凶手父亲竟称：“就这事害我们有家不能回，花钱在外面住宾馆。”对此受害者妈妈表示，一定追究凶手父母责任。,"News上海：监护人应该负责的 （189回复 1.2万赞）
 
“有预谋的 有目标的 行凶” （1133）

“保安干嘛去了？保安都来了，好像都不起作用” （39）

左岸迷迭香：人家闺女没了，精神问题监护人就应该担责（145回复 1.2万赞） ",,
,,,,成都女子家门口遇害案律师呼吁精神病人行凶入刑,大象新闻 ,新闻媒体 ,"#家门口遇害女子母亲讲述凶手行凶过程# 

#家门口遇害女子母亲称凶手提前踩点# 

#女子家门口遇害案法院择期开庭# ",https://m.weibo.cn/detail/5170887701040700 ,2340 转 2275评论 2.7万赞 ,“5月27日，成都女子家门口遇害案延期开庭。该案中，27岁的海归女子王某雅于2024年6月9日遭同小区住户梁某某持刀袭击身亡。本案起诉书显示，梁某某患有精神分裂症，违法行为评定为部分刑事责任能力，对其以故意杀人罪追究刑事责任。 被害人代理律师呼吁修改刑法，建议精神病人行凶必须入刑。”,"

夜空守望want：很难的。发病时无民事行为能力人。但我觉得可以追究监护人的罪行，如果是被送到精神病院可以追究精神病院责任。（98回复 254赞） ",,
,,,,/ ,胜利主义章北海 ,个人博主,"#女儿未恋爱遇害母亲泣诉人生骤断# 

#女子持刀杀人后父母带其做精神鉴定# ",https://m.weibo.cn/detail/5170680236872616 ,398转 1199评论 2万赞 ,"“2024年6月9日，成都王女士的女儿在家门口被同小区35岁的女子捅死，事后凶手被鉴定出精神病。这个案子明天开庭。 
出于政治正确，我不能说精神病人杀人也该偿命，但是从内心来讲，精神病人杀人不用偿命，实在不甘心” ","雾_雾_中：精神病人杀人更应该死刑，这样可以减少潜在的杀人案 （2835赞） 
Misaki殷紫：精神疾病也分对社会有害和无害的，请不要一言以概之 （406赞） ",,
,,,,/ ,成都紫雅妈妈 ,个人博主,#微博当事人# ,https://m.weibo.cn/status/5170978167984618 ,398转 1199评 2万赞 ,“大家好，我是成都市郫都区2024年凶杀案中受害者的妈妈，也就是紫雅妈妈，因为你们的关注和发声，让我女儿的案子上了热搜，谢谢你们[合十][合十]本来说的今天开庭，但由于一些客观原因 ，将择期开庭，择期开庭的时间还没订，有具体消息了我会第一时间告之各位朋友！不管等多久，我的诉求是不会变的:那就是杀人凶手梁珂滢必须死刑！” ,"藏青色的疯子：阿姨，我爸爸也是被精神病杀死的，我支持你！我懂你的痛！如果判不了死刑，我们受害人算什么！我们老老实实本本分分的生活，到头来被精神病毁了一家他们却不用付出代价！凭什么 (2.8万赞） 

解剖刀Crystal：管你啥病，管你多大年龄，杀人偿命，天经地义 （9246赞） ",,
,2023年5月4日列车持刀杀人案,2023-05-04,,“列车持刀杀人案”凶手：6年前曾拿刀捅伤工友 此前判决书显示 ,红星新闻,新闻媒体 ,"#起底火车行凶案嫌疑人#
#火车行凶案嫌疑人有精神病史#
#火车行凶案嫌疑人曾2次被强制戒毒# ",https://weibo.com/6105713761/MFMt7fduE, 3199转 854评 7838赞 ,5月4日，网传一名男乘客在K435次列车上被一男子持刀杀害，引发关注。5月7日，广州铁路公安局衡阳公安处向媒体证实，网传消息属实，且嫌犯有案底。据警方披露，嫌犯35岁，重庆人，2014年和2017年（凶手）曾两次持刀伤人，2010年和2011年曾两次被强制戒毒。（2019）渝0112民初29168号判决书显示，贺某某有精神病、犯罪史以及吸毒史。2018年3月12日，重庆市垫江县公安局澄溪派出所民警对贺某某进行讯问时，贺某某向警方承认自己患有精神分裂症，称他之前在长寿区葛兰第三人民医院精神科住院。5月9日，知情人张斌（化名）告诉红星新闻记者，他于2016年在重庆开了一家劳务派遣公司，贺某某于次年入职其公司，随后被派往当地一家汽修公司服务，“但入职不到一个月，他就拿刀捅了那家汽修公司的一名老员工敖某。” ,"这样的人为什么放出来？放出来又没有任何单位机构能够管控，为什么放出来？？？（1286）
回复：国内在册精神病重度患者510w。你确定都要关起来？（19）

这种有前科人就应该限制乘坐交通工具！去人多的地方就是颗定时炸弹[生病] （156）

他判不了死刑？（5）
回复：杀人偿命就是个笑话",,
,,,,#K435次列车杀人案凶手母亲回应#“如何管住患精神疾病儿子”,红星新闻,新闻媒体 ,#K435次列车杀人案凶手母亲回应#,https://weibo.com/6105713761/NnfVXDqXN,32转 317评 3293赞 ,"2023年5月4日，35岁的贺某在K435次列车上突然持刀杀人。5个月后，案件真相逐渐清晰。据澎湃新闻披露，衡阳铁路运输法院认为，贺某实施了杀害他人的行为，严重危害公民人身安全，经法定程序鉴定为依法不负刑事责任的精神病人，但因有继续危害社会的可能，故决定对其强制医疗。
贺某有伤人、杀人的先例，如强制医疗好转释放后，其病情再犯，继续伤害或杀害他人，该怎么办？如何避免？10月10日中午，红星新闻将网友关心的问题通过中间人转达给贺某的母亲卓某兰。卓某兰回应称：“等放出来了，我就把他接回家，然后长期在（重庆）这边的医院治疗。我毕竟是监护人。”","“监护人失职，不该处罚监护人？？？”（218）
“ 建议杀精神病人也不犯法！”（158）
“ 被杀的人妈妈再也等不到孩子了 ” （141）
“ 老虎伤人还会被击毙呢，留着他继续杀人？这样的法律不是好法律。” （168）
“ 被杀的人还能回家吗，因为他是精神病，所以被杀害的人就白死了？” （108）
",,
