,incident,text,likes,topic_id,bert_label,theme,comment_id,manual_theme,mental_illness_mentioned,sentiment_toward_mi_defense,bert_correct,notes
1,泰安一中学附近校车冲撞学生事件,这是要了孩子父母的命啊，才开学第二天,1247,1,School/child safety measures,Child Victims,5074483590727094,Child Victims,no,n/a,yes,
2,德州男子故意冲撞,学生放学时，让所有的汽车绕行，不准从校门口路段经过,865,1,School/child safety measures,Child Victims,5007196169703546,Child Victims,no,n/a,yes,
3,廉江幼儿园行凶事件,把贪官坏人杀了也算你的功劳了！杀学生算什么本事？狗子,675,1,School/child safety measures,Child Victims,4921932396626444,Child Victims,no,n/a,yes,
4,德州男子故意冲撞,放学期间，禁止所有小车通行,166,1,School/child safety measures,Child Victims,5007203319155868,Child Victims,no,n/a,yes,
5,贵溪小学持刀伤人,太怜了，希望全国学校能够加强安保，放人进校园前一定要询问清楚并登记，希望能有用,145,1,School/child safety measures,Child Victims,5036156580270029,Child Victims,no,n/a,yes,
6,无锡职业技术学院持刀伤人,这个真该死，自己考试不及格毕不了业赖别人,72,1,School/child safety measures,Child Victims,5124904640841732,Punishment & Justice,no,n/a,no,"Perpetrator was a college graduate attacking college-age students, not children; comment is anger at his excuse (failed exams), not child-safety framing"
7,廉江幼儿园行凶事件,幼儿园应该由武警把守。现在幼儿园保安真不行，上学放学的时候拿个钢叉站着有什么用，而且都是年纪不小的大叔。 现在武警都比较闲吧，消防也不用他们管了，抗洪救灾很久都没有一回。每个幼儿园派一个就行，上学放学的时候各一个小时。现在很多步行街都有两个武警站岗。只要持枪的武警才能震慑（或特警,62,1,School/child safety measures,Child Victims,4921991532380991,Child Victims,no,n/a,yes,
8,上海瑞金医院持刀砍人案,连孩子都伤害的，就不是个人！！,3360,3,Outrage: attacking children,Child Victims,4961474256044856,Child Victims,no,n/a,yes,
9,贵溪小学持刀伤人,我的天啊，心都要碎了，都是孩子啊！,3137,3,Outrage: attacking children,Child Victims,5036153151946941,Child Victims,no,n/a,yes,
10,2024年6月9日成都女子遇害案,杀人偿命，天经地义！大家会一直支持你，请保重好身体，我们一起呼吁为孩子讨回公道！,2332,3,Outrage: attacking children,Child Victims,5170982961547308,Punishment & Justice,no,n/a,partial,"Addressed to victim's mother re: an adult (27yo) victim; '孩子' used colloquially, not a literal child victim"
11,廉江幼儿园行凶事件,谁害自己的就去找谁，搞什么小孩子，欺软怕硬的废物。,1144,3,Outrage: attacking children,Child Victims,4921928823343166,Child Victims,no,n/a,yes,
12,贵溪小学持刀伤人,天哪，为什么伤害无辜的孩子,943,3,Outrage: attacking children,Child Victims,5036155521733342,Child Victims,no,n/a,yes,
13,广西梧州旺甫小学保安持刀伤人,无论生活怎么对不起你，但这些孩子并没有错。,273,3,Outrage: attacking children,Child Victims,4512084550753049,Child Victims,no,n/a,yes,
14,泰安一中学附近校车冲撞学生事件,隔着屏幕都能感受到那些父母的超级绝望 哎，人间惨剧，到底是谁的责任？,270,3,Outrage: attacking children,Child Victims,5074486489778812,Child Victims,no,n/a,yes,
15,廉江幼儿园行凶事件,对谁不满找谁去啊！竟然对无辜的孩子下手！畜牲啊！,266,3,Outrage: attacking children,Child Victims,4921994749415219,Child Victims,no,n/a,yes,
16,上海瑞金医院持刀砍人案,那个小孩 真的好心疼…,191,3,Outrage: attacking children,Child Victims,4789314268172013,Child Victims,no,n/a,yes,
17,贵溪小学持刀伤人,无论你经历了什么，不能把刀伸向孩子！,189,3,Outrage: attacking children,Child Victims,5036159832690521,Child Victims,no,n/a,yes,
18,江西一男子幼儿园行凶,对无辜的小孩下手，必须死刑,175,3,Outrage: attacking children,Child Victims,4798448594061262,Child Victims,no,n/a,yes,"Also calls for death penalty, but core sentiment is child-victim outrage"
19,廉江幼儿园行凶事件,牲口！对孩子下手,124,3,Outrage: attacking children,Child Victims,4921992245417167,Child Victims,no,n/a,yes,
20,上海瑞金医院持刀砍人案,为什么拐卖儿童不判死刑？,57,3,Outrage: attacking children,Child Victims,4961476747462422,Punishment & Justice,no,n/a,no,"Off-topic tangent about child-trafficking sentencing generally, not this incident's child victims"
21,深圳日本人学校学生被刺,多报道一下巴勒斯坦加沙的儿童,54,3,Outrage: attacking children,Child Victims,5080990395141983,Media & Info Control,no,n/a,no,"Off-topic remark about coverage priorities (Gaza); matched on '儿童' keyword only, not about this incident's children"
22,北京密云撞人,死了那么多孩子！为什么不报！,43,3,Outrage: attacking children,Child Victims,5182179132051594,Media & Info Control,no,n/a,partial,Mentions child deaths but core complaint is media non-reporting/suppression
23,江西一男子幼儿园行凶,多少个家庭支离破碎,16430,18,Shattered families,Child Victims,4798388278662527,Child Victims,no,n/a,yes,
24,泰安一中学附近校车冲撞学生事件,苍天啊‼️这要了多少家庭的命啊,48,18,Shattered families,Child Victims,5074490209861724,Child Victims,no,n/a,yes,
25,景德镇一家三口被撞,遵守交通，珍惜生命，敬畏法律，做情绪稳定的人,357,23,Direct punishment calls,Child Victims,5253115097124149,Public Safety & Fear,no,n/a,no,"Generic traffic-safety/emotional-stability exhortation for a vehicle-ramming case with adult victims, not specifically about children"
26,2025年8月景区故意捅人事件,真是飞来横祸，本来开开心心旅游,49793,2,Mixed reactions,Incident-Specific,5198891884743836,Incident-Specific,no,n/a,yes,
27,江西一男子幼儿园行凶,这种适合立即千刀万剐,451,2,Mixed reactions,Incident-Specific,4798403748568749,Punishment & Justice,no,n/a,no,"Death-by-a-thousand-cuts punishment call, not a 'mixed reaction'"
28,上海瑞金医院持刀砍人案,千万记住了，现在开始，大家都一定要低调。,383,2,Mixed reactions,Incident-Specific,4789345229210493,Public Safety & Fear,no,n/a,partial,Advises the public to 'keep a low profile' — general safety caution more than an incident-specific reaction
29,上海瑞金医院持刀砍人案,专挑儿科下手，可真能,332,2,Mixed reactions,Incident-Specific,4789313815187142,Child Victims,no,n/a,no,Sarcastic outrage that the perpetrator specifically targeted pediatric patients
30,江西一男子幼儿园行凶,凌迟我感觉该拾起来了,301,2,Mixed reactions,Incident-Specific,4798395539002898,Punishment & Justice,no,n/a,no,Advocates death by a thousand cuts
31,无锡职业技术学院持刀伤人,加鑫，加金，加爵都完了。只有加班是安全的。,119,2,Mixed reactions,Incident-Specific,5124904764835131,Incident-Specific,no,n/a,yes,Dark wordplay on perpetrator's name (徐加金) and the case's labor-exploitation motif
32,吉林北山公园伤人案,对，就这样处理。本来就是平常社会会出现的情况，自信回应就好。,103,2,Mixed reactions,Incident-Specific,5044156017673410,Incident-Specific,no,n/a,yes,
33,上海地铁持刀伤人事件,这种反社会都建议给凌迟了,23,2,Mixed reactions,Incident-Specific,5046922465513662,Punishment & Justice,no,n/a,no,"Calls for extreme punishment (凌迟), not a 'mixed reaction'"
34,2021中南财经政法大学副教授被精神病人杀害案,敖女士认为丈夫遇害情形应属于工伤，但学校和武汉市人社局均未予认可，家属已起诉武汉市人社局。12月5日上午9时，该案将在湖北武汉市中级人民法院开庭审理。,231,6,Comparative safety / patriotic discourse,Incident-Specific,5239906058372733,Incident-Specific,no,n/a,no,"Factual update on a workplace-injury lawsuit tied to the case, not patriotic/comparative discourse"
35,深圳日本人学校学生被刺,中国社会始终与善良正义站在一起,53,6,Comparative safety / patriotic discourse,Incident-Specific,5080681544158591,Incident-Specific,no,n/a,yes,
36,上海松江沃尔玛持刀伤人,前面的忘了，后面的忘了，反正我们中国比美国安全,49,6,Comparative safety / patriotic discourse,Incident-Specific,5084712479491101,Incident-Specific,no,n/a,yes,
37,上海瑞金医院持刀砍人案,唐山的警察出警速度要是有上海十分之一快，4个女孩也不至于被打成那样，这点为上海警方点赞,41,6,Comparative safety / patriotic discourse,Incident-Specific,4789329089794010,Incident-Specific,no,n/a,yes,
38,景德镇一家三口被撞,景德镇一家3口被撞惨案，司机一审死缓#景德镇一家3口被撞案一审宣判# 三条命啊，开车出行一定要注意安全！！！,83,14,Vehicle ramming sentencing (景德镇),Incident-Specific,5253117932215121,Incident-Specific,no,n/a,yes,Reports the actual sentencing outcome (死缓) for this case
39,泰安一中学附近校车冲撞学生事件,“它是一个案子”是不是说明司机是故意的？还是说车被人动了手脚要报复谁呀？才开学两天呢，痛心啊,70,14,Vehicle ramming sentencing (景德镇),Incident-Specific,5074500091641903,Incident-Specific,no,n/a,partial,Speculation specific to the 泰安 case; bert sub-label mislabels it as '景德镇' sentencing
40,泰安一中学附近校车冲撞学生事件,别到最后又说司机精神有问题,60,14,Vehicle ramming sentencing (景德镇),Incident-Specific,5074513685645546,Mental Illness & Law,yes,skeptical,no,Explicitly preempts a mental-illness defense narrative for the driver
41,2023年5月4日列车持刀杀人案,我是一名985硕士，毕业于华东师范大学，被上海市肺科医院过量使用抗生素致残，一直合法维权，2022年10月7日，被上海市青浦区徐泾镇章文军安排人绑架，抢劫，给我套着头套运到金泽村子里，将我非法拘禁35天，几百次投诉举报，上海市公安机关至今未立案侦查，拒绝出具回执，拒绝接收任何证据材料！,968,15,Hospital security (瑞金医院),Incident-Specific,4955436162224083,Incident-Specific,no,n/a,no,"Off-topic/spam: unrelated personal grievance about hospital malpractice and detention, hijacking the thread"
